Name,Formatted,Address,Author,Rating,Time,Review
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Connor Glanzman,4,a week ago,"The atmosphere and food was excellent, the only complaint I have was with the amount of steak we received for our sizzling fajitas. Overall, really great spot for drinks and a quick dinner."
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Isaura Lahoz,4,a month ago,"First time eating here. I came in through the back door I guess, but I didn’t know it wasn’t the main entrance my bad. Two girls by the bar didn’t greet me nor guide me anywhere so I asked another lady there and she told me I had to ask the bartender then I asked them if I could seat facing the street, and one of the girls brought me the menu for the food only but not the drinks but Francisco was kind enough to bring it to me and he recommended GUAVA COCO BLOSSOM which it was so good. The food was excellent, I loved the nachos. Francisco was my server and he was so nice and courteous. I might give Dos Caminos another chance because I love food and the drinks were excellent."
Dos Caminos,"1567 Broadway, New York, NY 10036, USA","1567 broadway, manhattan, ny 10036",Derek Beckman,4,a month ago,"Dos Caminos is conveniently located in Times Square and it is what you would expect of a chain restaurant (if even not one). Food was fine but it was a get ‘em in, get ‘em fed, and get ‘em out type feeling and atmosphere.  It is good if you are in a hurry and need some Mexican food but there are likely better options if you are looking for something more traditional."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Max Bou,4,2 months ago,"My wife and I went there for the first time, and now we made it one of our favorite places to go. I recommend it.  Good food, great service and the price is very fair."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Ritik Patel,4,a month ago,"Pretty good food, the waitress was really nice and patient. The atmosphere was lively. Had a birthday celebration, staff came and sang happy birthday, didn't let us keep the Sombrero unfortunately."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",noa kahana,5,a week ago,"I've been here 3 times already and absolutely LOVE it!
We ordered the peanut butter and jelly margarita and the viva nuts margarita both on the sweeter side and delicious. Then we ordered the platter in the picture. It came with chicken, carne asada, shrimp, sausage, melted cheese and roasted peppers, all in a delicious sauce that wasn't spicy at all - for me that was perfect.
The waitress was smiling and so pleasant! Great music made us dance in our seats.
Just a great place overall!"
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Diony Tavarez,5,3 months ago,"Exceptional Mexican cuisine meets meticulous attention to detail. The authentic decor harmoniously aligns with their outstanding margaritas. With its reasonable prices and vibrant atmosphere, this venue is an essential destination for those seeking a genuine Mexican culinary journey."
Viva Margarita,"163 Old River Rd, Edgewater, NJ 07020, USA","163 old river rd, edgewater, nj 07020, usa",Lady V,5,2 months ago,Food was delicious. Server was on top of everything. Very nice place. Would go back if ever in town again.
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Vashti,4,a month ago,"My intention was to grab a quick bite to go but I ended up eating at the bar.  Staff was friendly, atmosphere was lively and the taco was good.  The green and red sauce was everything. I’ve been meaning to return whenever I’m in the neighborhood."
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Casey Blake,5,4 months ago,I haven't been here since my brother passed but now this place has a special place in my heart. The food is really good and the drinks are balanced well. It's really simple and feel-good food for whenever you just want to have something quick or dine in.
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Caroline Elsas,5,2 weeks ago,"I hosted a party of 10 people for a lunch on a weekday. Everything from the service to the food was phenomenal. The staff went out of their way to make us feel welcome and prepare for our lunch get together. Everyone had a great time, and the food was delicious. We got guac and chips for the table and a variety of different entrées. Elaina is an amazing waitress. Thank you!"
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Yam Yam,5,2 months ago,Ordered a gordita. It was good.
Las Palmas Restaurant,"3891 Broadway A, New York, NY 10032, USA","3891 broadway a, manhattan, ny 10032",Fendy ho,5,3 months ago,"Absolutely love this authentic place! Came by myself one day and got their tacos and ceviche with a warning that the ceviche was quite big for one person (they were looking out for me!) but I told them that I love ceviche. They served me complimentary chips for dine in and the staff were so kind and delivered excellent service! When my ceviche came, they did not exaggerate 😂 as a small woman, I was scared I wouldn’t be able to finish but it was delicious and refreshing that I ate it all in one sitting! Additionally, watching the guy work at the bar was interesting and I found it so respectable for him to work so quickly and continuously! I have such high respect for the workers at this restaurant and saw how they were patient and took their time to explain each dish to someone, even if they were talking to the customer through another customer’s phone! 🥰"
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Franklin Bonilla,5,3 months ago,"Looking for a place to eat, I stopped by this restaurant at random and I'm so glad I did. Service was friendly from the beginning and while small, it can accommodate groups and it's also kid friendly with space to park a stroller and high chairs available. Food and drinks came out quick and everything was delicious. I agree with everyone that this is one of the best places for drinks. Nothing watered down here. I left totally satisfied and highly recommend this restaurant."
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Dylan Li,2,3 months ago,"2.5 stars:
Ordered some tacos to share, and $11.50 felt high for two small tacos. The barbacoa taco was tough and dry without much flavour, and the chicken taco didn't have much flavour either. The shrimp taco was good though. The three tacos were not filling enough, and for ~$22 after tax and automatic 20% tip, it was definitely not worth it"
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Kyle McCarthy,4,6 months ago,"Fun semi fast food Mexican joint, cousin of the one on UES. Good tacos, nice quesadilla with huitlacoche, a Mexican mushroom you don't often see. Very nice staff..  they pretty much take the order and disappear till it's ready. Street is very noisy for outdoor dining but the interior is very open and airy.   Good midtown in-a-rush choice"
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Sara McAuley,5,4 months ago,Chorizo quasidilas and chicken tacos were really good. Steak tacos were insanely hot (spicy) and we loved it! Great atmosphere! Didn't like the guacamole. Some sour cream and salsa for the quasidilas would have made it perfect.
La Esquina,"200 West 55th Street, New York, NY 10019, USA","200 west 55th street, manhattan, ny 10019",Lucas Cardozo,5,6 months ago,"Probably the best tortilla I ever had. The coconut flan was delicious! Cozy place, great staff!"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Eduardo,5,in the last week,"This place is awesome! Shrimp tacos are so good, and the oysters are super fresh. If you're around Chelsea Market, you gotta check it out. And hey, don't forget to snag a Margarita – you won't regret it! 🌮🍹"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Abigail Smith,5,a month ago,"Came by with a friend for a quick dinner in the afternoon. We were quickly attended too, the cashier gave advice about the options. We had the shrimp and fish tacos along with a margarita. The food came out quickly, was delicious and well priced. They also had shrimp broth for free which was yummy. Recommend for small groups, seating outside for larger groups as well."
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Sandra Park,5,4 months ago,"The best seafood tacos I’ve tasted! I’ve been coming here since 2017 and they have been consistent with their food quality. You can see they make their own corn tortillas in their kitchen, they have amazing free shrimp broth you can ask for, and all the food is so fresh and flavorful. The salsa that comes with the chips pack a punch so proceed with caution!"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Meg G.,5,2 weeks ago,"Genuinely love this place so much! As a predominant pescatarian who loves tacos and authentic Mexican food, this is lowkey one of my favorite places to get tacos in NYC!! Also, a major Clamato lover, spicy and amazing with a tamarind coated straw 😍!! Oyster shots, great selection of tequila/mezcal at the bar as well. 10/10 recommend!"
LOS MARISCOS,"409 West 15th Street, New York, NY 10011, USA","409 west 15th street, manhattan, ny 10011",Andrew Dabydeen,5,3 weeks ago,"Awesome spot to grab fish tacos and ceviche with no frills. If you’re in Chelsea market, it might be a little hard to find but if you’re outside, you can spot it easily. The drinks were delicious but the shrimp ceviche really stood out to us. Reasonably priced and a fun environment. Would definitely come back sometime soon!"
Dos Toros Taqueria,"52 West 52nd Street, New York, NY 10019, USA","52 west 52nd street, manhattan, ny 10019",Arden,4,2 weeks ago,"Very good, generous and better value than Chipotle. It has more options too - including more salsa, avocado crema and pickled onions. We had this one a couple hours after buying it so it’s probably not fair but I’m not sure I like it more than chipotle, it is probably on par or just below for me. The rice was a bit worse as I prefer lime to tomato rice. But also the hot salsa didn’t pack much of a punch. But I would definitely eat it again and the service was super good and restaurant was cute as well. Can’t comment on the chips but they looked good."
Dos Toros Taqueria,"52 West 52nd Street, New York, NY 10019, USA","52 west 52nd street, manhattan, ny 10019",María Paula Ruiz,4,a month ago,"Nice place to eat. It can get crowded at lunch time but the place is spacious enough to eat there.

The food it's good."
Dos Toros Taqueria,"52 West 52nd Street, New York, NY 10019, USA","52 west 52nd street, manhattan, ny 10019",Cary Pool,4,6 months ago,Similar to Moes southwest or Chipotle build your own dishes. They have habanero and 2 cooler sauces. There is no fountain drink machine so you have to pick from the bottles and cans in the fridge behind the counter. But the service is quick and tastes authentic.
Dos Toros Taqueria,"52 West 52nd Street, New York, NY 10019, USA","52 west 52nd street, manhattan, ny 10019",Mohammed Salim,4,2 months ago,I tried salad bowl and it was okay. I wanted to try their shrimp tacos but it was not available.
Dos Toros Taqueria,"52 West 52nd Street, New York, NY 10019, USA","52 west 52nd street, manhattan, ny 10019",Mr Tysr,5,8 months ago,"Great location in Manhattan for enjoying Mexican food. Really appreciate Burritos with Corona beer.
Fast served.  You can choose and compose the meal."
Charrito's,"974 JFK Blvd E East, Weehawken, NJ 07086, USA","974 jfk blvd e east, weehawken, nj 07086, usa",Olga Solano,3,5 months ago,"We went to celebrate a birthday and the place is amazing for that! The view of Manhattan is impressive, the decoration of the place is great! But the hostess at the entrance lacked a lot of touch, she was very impolite, we needed to use the ramp and said no. Our waitress needed to help us with the stairs. And I do need to applaud her service she was amazing and made our night extra special."
Charrito's,"974 JFK Blvd E East, Weehawken, NJ 07086, USA","974 jfk blvd e east, weehawken, nj 07086, usa",J M,4,5 months ago,First time at charritos and i must say it was a nice experience.  The view from the outside was so beautiful and relaxing. The chicken fajitas were pretty good and the pina colada on the rocks was so yummy and refreshing on a hot day. The staff was friendly and accommodating. I would definitely go back again.
Charrito's,"974 JFK Blvd E East, Weehawken, NJ 07086, USA","974 jfk blvd e east, weehawken, nj 07086, usa",Michelle Madariaga,5,3 weeks ago,Great local spot for margaritas and Mexican fare🍹 the shrimp enchiladas and fresh guacamole are great 🍤 the staff is friendly and attentive. The restaurant is beautifully decorated and the NYC skyline is amazing 🏙
Charrito's,"974 JFK Blvd E East, Weehawken, NJ 07086, USA","974 jfk blvd e east, weehawken, nj 07086, usa",Andrea Deronde,4,3 weeks ago,Chicken Verde enchiladas were great came here to celebrate a birthday and absolutely loved it. Guacamole was perfect food and drinks were great also some of the best flan I’ve had
Charrito's,"974 JFK Blvd E East, Weehawken, NJ 07086, USA","974 jfk blvd e east, weehawken, nj 07086, usa",Premal Patel,5,5 months ago,"Very well decorated restaurant with fantastic views of the New York skyline.
Staff was super helpful and took care of our special requests.
Dog friendly too.
Enchiladas are recommended.
So is the margarita."
Taqueria St. Marks Place,"79 Street Marks Place, New York, NY 10003, USA","79 street marks place, manhattan, ny 10003",Matthew Kim,5,2 months ago,Best sit down Mexican restaurant I've been to in Manhattan! Love their tortas as they are full of flavor and quite large. Their chips and guacamole are full of flavor and their salsa is amazing as well. I honestly think their tacos are better than los tacos but it is pretty close. Would definitely give this place a try if you are in the area!
Taqueria St. Marks Place,"79 Street Marks Place, New York, NY 10003, USA","79 street marks place, manhattan, ny 10003",Matt Brown,5,a month ago,"Absolutely love this place. They have great tacos for cheap and margs are only $9. Low key LA vibes at this spot and service is 👌

Recommend getting the suadero and lengua tacos if you’re feeling a little adventurous. Otherwise the classic chicken, steak or chorizo tacos are my go-tos.

Have been coming here for years and never disappoints.

One note - there are no reservations and can be a bit of a wait if you get there during prime time (especially during an LA sports game because they play it on the TV), so my rec is to just get there a little on the early side."
Taqueria St. Marks Place,"79 Street Marks Place, New York, NY 10003, USA","79 street marks place, manhattan, ny 10003",Christian Carter-Marrero,5,9 months ago,"Stopped in with some coworkers based on one of their previous dinning experiences and it was not disappointing at all. Nice festive atmosphere, food came out quick drinks were served fast, wait staff friendly and good vibes among diners. Was told the guacamole was amazing and it absolutely was! Chips and salsa very tasty as well. The tacos had different ingredients based on the type of taco you ordered which was exciting to taste. Usually, most places have the same ingredients and just change the meat. Will definitely be back to enjoy everything again!"
Taqueria St. Marks Place,"79 Street Marks Place, New York, NY 10003, USA","79 street marks place, manhattan, ny 10003",Roderick Rodriguez,5,9 months ago,"We came with a group of 13 and they were able to accommodate us very nicely. Overall everyone enjoyed the food.  The portions were just enough.  Chips and salsa were brought to the table and the salsa was great.  I had the Cheese Enchilada Verde, Rice and Beans and Torta Milenesa.  They all had good flavor.  They do charge extra if you use a credit card."
Taqueria St. Marks Place,"79 Street Marks Place, New York, NY 10003, USA","79 street marks place, manhattan, ny 10003",Christel Stoddard,3,6 months ago,"I went with high hopes that the food would be like home. (California) I was quickly disappointed when my food arrived the Pozle was thick and powdery tasting. It didn't have hominy, the sides to go into the soup were minimal. The meat was overcooked and didn't have the flavor of the broth, extremely bland. I ordered a side of beans and flautas which were technically taquito, all were bland almost as if they were frozen not fresh, the beans were too runny and had no texture. My BF got some form of a Burrito, but not, they called it a ""burritas"" basically a rolled tortilla with hamburger meat inside. He liked it but wasn't filling so he ordered some fish tacos that were much better in his opinion. Their quac was good, and so was their salsa. Cocktails were also very good. The wait staff was amazing, friendly, and eager to assist. They took the Pozle off the bill, and gave us a nice flan for dessert.."
El Paso Taqueria,"64 East 97th Street, New York, NY 10029, USA","64 east 97th street, manhattan, ny 10029",steven georgiadis,5,3 months ago,"Went here for dinner. Nice atmosphere, authentic and good service. Got the Enchiladas which were delicious. The person I went with got the Fish Tacos which they said were also great. A great Mexican place to eat at if you’re in Manhattan!"
El Paso Taqueria,"64 East 97th Street, New York, NY 10029, USA","64 east 97th street, manhattan, ny 10029",David Wallman,5,a month ago,"Crazy good Taco Tuesday Night Deal! The special is two tacos and a margarita for $15. When most restaurants in the city charge $15 for a Margarita alone, this is a snag. I would recommend either getting an empanada or another taco since the 2 tacos alone didn’t fill me. I got the house marg, two chorizo tacos, and a beef empanada and would order all of them again!"
El Paso Taqueria,"64 East 97th Street, New York, NY 10029, USA","64 east 97th street, manhattan, ny 10029",Angie Rod,4,a year ago,"I used to love this place. They had three locations I used to frequent, but then I moved.
I came back to the city, excited to come back to the location. The wait staff was very nice and accommodating. They have tables outdoors and indoors, so the waitstaff is busy going back and forth.
Food was good. Though there was no pico de Galo, very little jalapeño and a small amount of guacamole, no sour cream, and pre shredded cojita cheese (that’s odd for a ‘authentic’ Mexican spot), I enjoyed the nachos. The tacos were also nice.
The drinks?
My husband and I both got drinks- he got a piba colada and I got a passion fruit frozen margarita
My guy they tasted like water was the primary flavor. It was trash. I’ve never had such a flavorless margarita in my life. My husband couldn’t even really drink his piña colada.
So if you want good food, come here. If you want alcohol, stick with the beer. I guess COVID affected this spot hard cause it’s just not the same.
Maybe I went on an off night. If I ever go back I’ll update."
El Paso Taqueria,"64 East 97th Street, New York, NY 10029, USA","64 east 97th street, manhattan, ny 10029",Gosia Lewandowska,5,9 months ago,"Fantastic lunch + drinks today! I've eaten here years ago, and was thrilled to eat here again. Two of us enjoyed the outdoor dining in the milder weather, and ordered off the Lunch Special menu:
-1 chicken empanada- wow! Outstanding, especially with the sauce
- carne asada burrito bowl
- Omelett con frijoles & aquacate, perfectly crunchy yet soft veggies + Spinach to complement the eggs, this was awesome!
-Margarita, on the rocks, as recommended by our friendly helpful server
-Paloma
This was a perfect spot for a fresh and very tasty lunch today!"
El Paso Taqueria,"64 East 97th Street, New York, NY 10029, USA","64 east 97th street, manhattan, ny 10029",Bushra Mollick,5,8 months ago,I've eaten here a few times. They have great mojitos and margaritas! Their birria tacos are amazing! Highly recommend this place.
MEXiCUE,"225 5th Avenue, New York, NY 10010, USA","225 5th avenue, manhattan, ny 10010",B W,5,3 months ago,"I came in solo and sat at the bar. Mark was tending bar, super friendly and had great suggestions. I landed on the Smokey Margarita and the Smoke Chicken Burrito. Both were mellow on the Smokey flavor which was perfect. Food was delicious and a little on the heavy side. It’s a unique twist on a burrito and was more than expected. Looking forward to trying more of the menu."
MEXiCUE,"225 5th Avenue, New York, NY 10010, USA","225 5th avenue, manhattan, ny 10010",Corey Brill,5,3 months ago,"Amazing food, friendly and fast service, and a clean welcoming atmosphere. This location is perfect for a date for two, dinner with friends or stopping in for happy hour from 4-7. You should check it out. I suggest the chips and queso, and their brisket burrito. The portions were perfectly balanced so you felt full but could still be on the move."
MEXiCUE,"225 5th Avenue, New York, NY 10010, USA","225 5th avenue, manhattan, ny 10010",Yan O'Cain,5,3 months ago,"Man, this was such a delight! Food came in less than 5 minutes after ordering and was delicious. They customized my daughter's nachos the way she likes them without any extras. My burrito was extremely good and my wife enjoyed her fishy tacos. A must near Broadway Street. I asked for spicy sauce and brought 3 sauces for me to taste. Another victory !"
MEXiCUE,"225 5th Avenue, New York, NY 10010, USA","225 5th avenue, manhattan, ny 10010",Pooja Gaikwad,5,4 months ago,"Good food. Great fish tacos (2 in one dish) - fried or grilled fish (fried is tastier). We ordered a Jambalaya burrito 'Jamburrito' ($21 each). It was big, cheesy, tasty, and very filling, great for 1 person. We ordered ginger beer and pineapple juice - both are not on the menu but can be ordered. We paid $92 including tips for 2 non-alcoholic drinks, 1 starter, and 2 mains - very reasonable. Our reservation was at 6.30 pm and the place was very empty. They have plenty of seats."
MEXiCUE,"225 5th Avenue, New York, NY 10010, USA","225 5th avenue, manhattan, ny 10010",Jonathan Truong,2,2 weeks ago,"Great service and atmosphere. The food needs improvement. I tried the nachos, flautas, Mexican street corn, bbq pulled pork bowl and the smoked chicken burrito. The nachos could have included some meat but maybe that was because we got the happy hour nachos. The flautas were decent. The Mexican street corn was drenched in sauce and wasn't very good. I feel like every dish tasted nearly the same with the same sauce. I expected the smoked chicken burrito to have an actual smoky chicken flavor but the sauce just overpowers everything else."
El Paso,"123 East 110th Street, New York, NY 10029, USA","123 east 110th street, manhattan, ny 10029",Naly Lee Velasco,5,6 months ago,"The food, service, and atmosphere were all fantastic! We had a great time here! Authentic and delicious, highly recommend it! Ceviche was my favorite!"
El Paso,"123 East 110th Street, New York, NY 10029, USA","123 east 110th street, manhattan, ny 10029",Alex Lee,5,5 months ago,"Absolutely incredible food, me and my girlfriend have a great time every single time we come to El Paso! We love the margaritas and the flan :)"
El Paso,"123 East 110th Street, New York, NY 10029, USA","123 east 110th street, manhattan, ny 10029",Rudy Rodriguez,4,5 months ago,"Really great birria tacos as well as carnitas michuacana. Having grown up in the southwest, it's hard to find great Mexican food in NYC. This place is pretty decent."
El Paso,"123 East 110th Street, New York, NY 10029, USA","123 east 110th street, manhattan, ny 10029",David Bras,5,7 months ago,"El Paso is a special place in East Harlem. Everything on the menu is excellent. The Seafood Soup has fresh shrimp, mussels, crab meat, calamari, octopus, cilantro and  onions in a spicy tomato base. It's the best seafood soup in NYC. Great staff, big screen TV's for sports and the best live mariachi bands at night."
El Paso,"123 East 110th Street, New York, NY 10029, USA","123 east 110th street, manhattan, ny 10029",F P,4,9 months ago,"I liked this place a lot because it was so family oriented. The owner is very involved and attentive always asking if everything’s ok.
The aesthetic of the pace is pretty nice, I like the outside set up and it’s pretty up to date and clean

I had the 3 birria tacos with a margarita and it was good. I really enjoyed the mariachi they had with the lead singer singing directly to you, making time stop for a whole song of your choice.  I loved it, he sang “amor eterno” by rocio durcal amazing performance that was"