RESTAURANT,RATING,PHONE,COST,CUISINE,ADDRESS,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,Latitude,Longitude
345 Cantina,4.5,13478487734,,"Mexican, Cocktail Bars, Breakfast & Brunch","345 east 6th street manhattan, ny 10003",1/21/23,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Not Critical,22,B,1/21/23,40.73,-73.99
Bar Tulix,4,12123347320,,"Mexican, Seafood","25 west houston street manhattan, ny 10012",1/24/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 ¬∞F; smoked or processed fish held above 38 ¬∞F; intact raw eggs held above 45 ¬∞F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,19,B,1/24/23,40.73,-74
Barrio Chino,4,12122286710,$$,"Mexican, Bars","253 broome street manhattan, ny 10002",9/8/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,0,A,9/8/22,40.72,-73.99
Cafe Habana,4,12126252001,$$,"Cuban, Mexican","17 prince street manhattan, ny 10012",12/19/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,12/19/22,40.72,-73.99
Casa Carmen,4,19175405500,,Mexican,"114 franklin street manhattan, ny 10013",5/10/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,5/10/23,40.72,-74.01
Casa Carmen,4.5,19175405600,,"Mexican, Wine Bars, Cocktail Bars","5 west 21st street manhattan, ny 10010",8/10/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,9,A,8/10/23,40.74,-73.99
Covacha,4,12127122929,$$,Mexican,"368 columbus avenue manhattan, ny 10024",1/12/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,1/12/22,40.78,-73.98
El Diablito Taqueria,4,16466929268,$,Mexican,"60 east 3rd street manhattan, ny 10003",2/24/23,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,9,A,2/24/23,40.73,-73.99
El Parador Cafe,4,12126796812,$$$,"Mexican, Venues & Event Spaces, Cocktail Bars","325 east 34th street manhattan, ny 10016",3/30/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16,B,3/30/23,40.74,-73.97
El Vez Burrito Bar,4,12122332500,$$,"Mexican, Salad, Breakfast & Brunch","259 vesey street manhattan, ny 10282",9/30/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/30/22,40.71,-74.02
Fonda Tribeca,4.5,19172616950,$$$,Mexican,"139 duane street manhattan, ny 10013",1/26/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,1/26/23,40.72,-74.01
Jo’s Taco,5,16469984440,,Tacos,"226 east 14th street manhattan, ny 10003",8/2/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,7,A,8/2/23,40.73,-73.99
La Contenta,4.5,12124324180,$$,"Mexican, Bars, Breakfast & Brunch","102 norfolk street manhattan, ny 10002",3/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,3/13/23,40.72,-73.99
La Contenta Oeste,4,12125332233,$$,"Mexican, Breakfast & Brunch, Cocktail Bars","78 west 11th street manhattan, ny 10011",3/2/22,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,13,A,3/2/22,40.73,-74
Los Mariscos,4.5,12129204986,$$,"Mexican, Cocktail Bars","409 west 15th street manhattan, ny 10011",1/27/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,1/27/22,40.74,-74.01
Luchadores,4,19174093033,$$,Mexican,"87 south street manhattan, ny 10038",1/19/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,1/19/22,40.71,-74
Mad Dog & Beans Mexican Cantina,4,16469985722,$$,Mexican,"5 east 38th street manhattan, ny 10016",9/14/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,0,A,9/14/22,40.75,-73.98
Mayamezcal,4,12122535888,$$,"Mexican, Cocktail Bars","304 east 6th street manhattan, ny 10003",8/3/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,8/3/22,40.73,-73.99
MEXiCUE,4,13322498600,$$,Mexican,"1440 broadway manhattan, ny 10018",2/1/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,2/1/22,40.75,-73.99
MEXiCUE,4,13322633200,$$,Mexican,"225 5th avenue manhattan, ny 10010",12/27/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment‚Äôs food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,B,12/27/22,40.74,-73.99
Mezcali,4,19174095881,$$,"Tacos, Tapas/Small Plates, Cocktail Bars","83 maiden lane manhattan, ny 10038",6/7/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,6/7/23,40.71,-74.01
Ofrenda,4,12129242305,$$,"Mexican, Breakfast & Brunch","113 7th avenue south manhattan, ny 10014",4/18/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11,A,4/18/23,40.73,-74
Pink Taco,4,12123158226,$$,"Tacos, Bars, Breakfast & Brunch","7 times square manhattan, ny 10036",8/23/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13,A,8/23/23,40.76,-73.99
Ponche Taqueria & Cantina,4,12125811235,$$,Mexican,"420 west 49th street manhattan, ny 10019",10/3/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,10/3/23,40.76,-73.99
Rosie's,4,12123350114,$$,Mexican,"29 east 2nd street manhattan, ny 10003",4/3/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 ¬∞F; smoked or processed fish held above 38 ¬∞F; intact raw eggs held above 45 ¬∞F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10,A,4/3/23,40.73,-73.99
SOL Mexican Cocina,4,12126217671,,"Mexican, Bars, Breakfast & Brunch","220 5th avenue manhattan, ny 10001",5/12/23,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 ¬∞F to 70 ¬∞F or less within 2 hours, and from 70 ¬∞F to 41 ¬∞F or less within 4 additional hours.",Critical,13,A,5/12/23,40.74,-73.99
Summer Salt,4.5,12122090648,,"Tacos, New Mexican Cuisine","30 east 23rd street manhattan, ny 10010",10/18/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,7,A,10/18/23,40.74,-73.99
Taqueria Gramercy,4,16463706435,$$,"Bars, Tacos","218 3rd avenue manhattan, ny 10003",12/21/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,12/21/22,40.74,-73.99
Taqueria Nixtamal,4.5,19176004732,,Tacos,"115 delancey street manhattan, ny 10002",10/26/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,10/26/22,40.72,-73.99
Taqueria St. Marks Place,4,16469645614,$$,Mexican,"79 saint marks place manhattan, ny 10003",11/15/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,11/15/22,40.73,-73.99
Toloache 50,4,12125811818,$$$,Mexican,"251 west 50th street manhattan, ny 10019",3/29/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,3/29/22,40.76,-73.99
Toloache 82nd,4,12128614505,$$$,"Mexican, Tex-Mex","166 east 82nd street manhattan, ny 10028",3/10/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,3/10/23,40.78,-73.96
Toro Loco,4,19172620444,$$,"Cocktail Bars, Mexican, Breakfast & Brunch","15 stone street manhattan, ny 10004",8/9/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment‚Äôs food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,8/9/22,40.7,-74.01